Login,Traces #1,Traces #2,Traces #3.1,Traces #3.2,Final Traces
,0,,0,0,4.42
,15.38,9.23,10.6,16.31,15.58
,0,0,0,0,0.92
,,1.54,7.18,7.18,11.81
,1.54,1.54,14.79,14.79,13.31
,0,1.54,6.58,17.95,16.15
,0,,5.3,11.45,10.31
,,,11.54,11.54,10.38
,1.54,,1.03,1.03,9.88
,13.85,9.23,20,20,19
,16.92,,11.28,17.22,15.5
,1.54,,2.69,2.69,3.92
,14.92,,9.28,9.28,10.5
,1.54,0,8.38,8.38,9.04
,1.54,,1.03,1.03,0.92
,0,,0,0,0
,0.54,0.54,16.28,17.22,18.5
,1.54,9.23,6.15,11.71,11.46
,0,1.54,14.44,18.33,18
,6.15,6.15,18.89,20,19
,0,1.54,3.25,3.25,9.04
,0,0,4.91,0,10.88
,,20,10.04,10.04,18
,0,,0,0,0
,9.23,,10.04,15.17,13.65
,9.23,9.23,16.11,16.11,19
,20,,17.78,18.33,16.5
,0.54,8.23,8.38,15.17,17.15
,1.54,20,18.33,18.33,16.5
,0,8.23,16.11,15.11,14.5
,9.23,20,19.44,20,19
,0,9.23,19.44,19.44,17.5
,1.54,9.23,7.82,7.82,4.04
,7.69,,10.04,10.04,9.04
,20,20,18.89,20,20
,0,,2.05,2.05,3.42
,1.54,,1.03,0,7.54
,1.54,20,18.33,14.23,19
,20,,17.78,17.78,16
,6.15,20,17.22,18.33,17.5
,0,0,4.91,4.91,4.42
,0,,11.15,11.15,7.62
